Gene_name,Rank
ABHD17C,7.035483506855198
GBA1,7.034775718837427
ENSG00000294739,7.02660693192158
C7ORF57,6.997484881550125
FABP5P7,6.994091087943393
EIF5,6.992471630312241
ENSG00000290937,6.982025238533746
ENSG00000286418,6.977705994703198
CLPX,6.976277104865143
TSNAX-DT,6.975103898155793
ENSG00000285820,6.95529048522616
HMGB3,6.9535304535879865
MYZAP,6.949229008692397
EPGN,6.94289678776685
SMAGP,6.93838653819796
ZC3H12A,6.935042745281719
TDP2,6.923069063661126
XDH,6.910459868445275
CNFN,6.888840547289049
RNASE8,6.887431953861661
ARG1,6.880311733506415
SLC26A9,6.87846890048547
TC2N,6.870277199391499
FAM162A,6.860728362364678
FAM169A,6.854279504947938
ENSG00000294051,6.84490226969293
MFHAS1,6.809285663538178
PGAM5,6.805280643802077
MMP1,6.7894574276748365
AGAP2,6.78848285121946
MYCBPAP,6.771302046173509
RELL2,6.763256338754448
MREG,6.7548237855012285
SLAMF7,6.751171489651674
ENSG00000279693,6.741511786591137
RNF223,6.737475001417765
STRIP2,6.728726038666939
OAS2,6.727569870080275
FOXE1,6.726733428161965
ORC1,6.7228394077503815
SERPINB13,6.718220067170384
TMEM86A,6.715028129703263
KLK14,6.702822801747374
CCNA2,6.690960334532534
B3GNT3,6.684798761060089
IRAK2,6.666086419967536
CNGB1,6.660196110603302
TBC1D7,6.656269074939345
IDH3A,6.649613403383635
METAP1,6.647399435369262
PLBD1-AS1,6.623014242376901
TTK,6.620513509491981
SLC25A15,6.618931203526304
IKZF3,6.593742903728516
CKMT1A,6.593604138440872
FBXO9,6.59249385145825
GBP6,6.572380551191049
SLC35B1,6.5617170499310085
KLK10,6.559060818123679
CXCR2,6.555648723118862
PPP4R1,6.550363617191759
IFIH1,6.528376125544497
GK,6.4969734823497
PRDM1,6.488425865303229
ENSG00000306923,6.484018075329561
KDM7A-DT,6.480696438514386
GPRIN1,6.471431574566281
CNTNAP2,6.470493409352651
ATP6V1B2,6.4671015590527565
WDR53,6.465666961769048
PCP4L1,6.430697357638257
ENSG00000302966,6.428222711292523
GBP2,6.426648591605126
TUBA1C,6.424817763887084
GBA1LP,6.423216286571516
ZNF662,6.415682166603695
CCNB1,6.406323980722896
CDCA2,6.401839340860064
BDH1,6.395530108161434
DNA2,6.392915177369269
GALNT6,6.392387257567899
LINC01806,6.389240327905823
MFSD2B,6.388267669079374
ME1,6.384215136954204
TREX2,6.376705780339381
LCN2,6.368866058660467
SEC11C,6.368833914651962
CSTB,6.3672117321029145
MIR31HG,6.360633537393167
SNHG4,6.357002324707489
RAET1G,6.356074231485478
PEX3,6.355330881182369
MALL,6.348397964053227
ARSF,6.333013757932822
TTC39A,6.32739784257538
CKMT1B,6.302638372658254
IL36RN,6.302095747264535
OAS3,6.301393476304822
GLB1L3,6.292273306217843
SLC5A1,6.292040123719831
TIGIT,6.28529457978191
STXBP5-AS1,6.2795265732365335
NEU2,6.2682864284577935
LINC02687,6.262421392755383
IL17A,6.2567670652404415
ENSG00000309254,6.248458873227168
GOT2,6.235294726495608
MDFI,6.222543185498889
ADAP2,6.204258902518392
RN7SL471P,6.191867060622153
KCNK10,6.185676583777664
IGLON5,6.185440942205983
TYMP,6.167706874634582
CD3G,6.153322465750644
TRIM14,6.141450088184174
SH3PXD2A-AS1,6.137063510317365
ACAD8,6.1290224762201975
GOT1,6.123050242469284
IFI6,6.103756164164658
IRF7,6.1002258100337565
ZWINT,6.091019853648727
SLC31A1,6.087522840477842
C12ORF56,6.087047335709992
SHB,6.0863705925400975
CSTA,6.085641248710561
SCO2,6.079269372934038
USP2,6.074848623043349
MIR3142HG,6.074427653351419
CHAC1,6.071975942536749
GTPBP2,6.06899759174215
ENSG00000223872,6.063379893231051
EFR3B,6.052139880922983
ADIPOR2,6.051079353250209
PRELID1,6.049470559838079
CDC20,6.035828470890313
LINC01605,6.035692778107893
DDX52,6.035124218660384
SRMS,6.03419532939377
RNF222,6.026768942623975
PDSS1,6.0252520643376055
CPA6,6.008653748240496
NLRX1,6.007139993415984
ZNF503-AS2,6.004485908784307
AASS,5.999531257515366
HIGD1A,5.992202967387047
IL26,5.988207376241671
CASP5,5.987955273618352
BATF2,5.967939911111063
MELK,5.967223866121044
TRMT6,5.9617040308008455
RHCG,5.94368847884039
IFI44,5.943359921079117
COX7B,5.940222440425174
STAT3,5.93480531898681
DDIAS,5.927556383161968
ENSG00000291000,5.919780541583285
FAAHP1,5.91174471637236
LRRC55,5.896547011693927
STIL,5.877892916312833
ENDOU,5.865567700681318
ELOVL7,5.8641363871750825
MACO1,5.856793651044777
DLGAP5,5.837324387569407
ZDHHC21,5.835531248733119
IGFL1,5.811922927608773
ISG15,5.802281253987099
CD80,5.790057751485177
GLRX3,5.787624054449656
POP1,5.770062105505841
IRF9,5.769410611768028
ENSG00000289128,5.7653870000174505
PARP9,5.763521181466716
TGM1,5.760013186499134
RDH16,5.755028704743441
ENSG00000289405,5.74707601456363
FBXW10B,5.724651802581715
TRIM15,5.723063068610625
TUBG1,5.722412118551017
TXNDC17,5.7164932465517895
CMPK2,5.714615524634975
ENSG00000296318,5.709311162325799
SH3GL3,5.699591576127267
FAM136A,5.685838893883184
MACROH2A1,5.6830037166643566
EPOP,5.67991070595584
ENSG00000296661,5.665458661666552
GNA15,5.662400573991769
ENSG00000296286,5.645519562665124
EIF6,5.641859770919659
MAP3K9-DT,5.641418816045233
