Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR7543039_clean_1	(1.0, 27.377919624493092)	(2.0, 8.41653147064295)	(3.0, 4.601107348844384)	(4.0, 3.126220467740327)	(5.0, 2.218302923032278)	(6.0, 1.7687407701561784)	(7.0, 1.4296371584027114)	(8.0, 1.2104285644585104)	(9.0, 1.007170336379968)	('>10', 11.389020755769918)	('>50', 3.597884690416586)	('>100', 7.3034731910147)	('>500', 2.8954659624095935)	('>1k', 7.99448484967077)	('>5k', 4.4374180217676455)	('>10k+', 11.226193864800141)
SRR7543039_clean_2	(1.0, 30.198332074314564)	(2.0, 8.96811803871983)	(3.0, 4.626451233777732)	(4.0, 2.969761982374948)	(5.0, 2.1100465215982447)	(6.0, 1.623585859244256)	(7.0, 1.2805226171644082)	(8.0, 1.0742835372767712)	(9.0, 0.8783908006591871)	('>10', 10.478589789345133)	('>50', 3.2810855711549194)	('>100', 6.899215201516222)	('>500', 2.6276326098132707)	('>1k', 8.915943912776301)	('>5k', 5.476113742845404)	('>10k+', 8.591926507418776)
SRR7543040_1	(1.0, 35.41984422088155)	(2.0, 8.772812797299427)	(3.0, 4.333089378035161)	(4.0, 2.8296935304738478)	(5.0, 1.9710932048298675)	(6.0, 1.5619010965444944)	(7.0, 1.1762917776016928)	(8.0, 1.0421758996187886)	(9.0, 0.8468040726517329)	('>10', 9.582829063960672)	('>50', 3.153436059703376)	('>100', 6.090465510061346)	('>500', 2.3720172267006885)	('>1k', 7.29686378855842)	('>5k', 4.242445329281838)	('>10k+', 9.308237043797126)
SRR7543040_2	(1.0, 36.42109406302837)	(2.0, 9.11436484202536)	(3.0, 4.47121179088938)	(4.0, 2.7234767081552995)	(5.0, 1.8998711449343082)	(6.0, 1.448608808186084)	(7.0, 1.087324539514157)	(8.0, 0.9346511332302758)	(9.0, 0.781352313423514)	('>10', 9.164367011587169)	('>50', 2.8986387621628205)	('>100', 5.501381011631208)	('>500', 2.157481909547886)	('>1k', 8.460293813760238)	('>5k', 5.280197545103046)	('>10k+', 7.65568460282105)
SRR7543040_clean_1	(1.0, 33.91439113341163)	(2.0, 8.89901677060877)	(3.0, 4.425110102533143)	(4.0, 2.912681093050103)	(5.0, 2.0761369445878657)	(6.0, 1.6043233831941253)	(7.0, 1.2031163142363182)	(8.0, 1.073022510309078)	(9.0, 0.8990933501442875)	('>10', 9.720859163761794)	('>50', 3.1852623073719686)	('>100', 6.049723251078053)	('>500', 2.3438166110134686)	('>1k', 7.439306088620905)	('>5k', 4.432419448467759)	('>10k+', 9.821721527610734)
SRR7543040_clean_2	(1.0, 36.520184808575635)	(2.0, 9.16245640286093)	(3.0, 4.484710545695314)	(4.0, 2.7416401204605902)	(5.0, 1.90938616202112)	(6.0, 1.4223854642285472)	(7.0, 1.1103758794119747)	(8.0, 0.9145554538625139)	(9.0, 0.7779388552150537)	('>10', 9.151768484012655)	('>50', 2.9066283280241976)	('>100', 5.500809511889015)	('>500', 2.197206305496142)	('>1k', 8.596645873156938)	('>5k', 5.131114019968182)	('>10k+', 7.472193785120824)
SRR7543041_1	(1.0, 41.17045314415348)	(2.0, 9.389623832054431)	(3.0, 4.289267265479451)	(4.0, 2.605501295749247)	(5.0, 1.8852308333674719)	(6.0, 1.4347834351881459)	(7.0, 1.1013833030985638)	(8.0, 0.9650516962340273)	(9.0, 0.7819563511979266)	('>10', 8.507101146968685)	('>50', 3.031039880262311)	('>100', 5.617717883465638)	('>500', 2.19368959907549)	('>1k', 6.603889509229517)	('>5k', 3.4839356617944413)	('>10k+', 6.939375162681061)
SRR7543041_2	(1.0, 42.607061726094315)	(2.0, 9.596124062547364)	(3.0, 4.260553752224966)	(4.0, 2.5775023660965166)	(5.0, 1.755775408750494)	(6.0, 1.3050144251942686)	(7.0, 1.0103901136869646)	(8.0, 0.8427936062473367)	(9.0, 0.7290020913676081)	('>10', 8.040494781792312)	('>50', 2.8227564052948106)	('>100', 5.167724677295508)	('>500', 2.059991014148833)	('>1k', 7.336314551798899)	('>5k', 4.442746929067766)	('>10k+', 5.445754088391885)
SRR7543041_clean_1	(1.0, 40.23548033156711)	(2.0, 9.499738325554214)	(3.0, 4.380454515020234)	(4.0, 2.6714434073168114)	(5.0, 1.9129591168039144)	(6.0, 1.48401803649576)	(7.0, 1.1143991790138932)	(8.0, 0.9540882851735559)	(9.0, 0.7866937242026849)	('>10', 8.619549321104735)	('>50', 3.0779640605046334)	('>100', 5.5571637317981395)	('>500', 2.206642911208141)	('>1k', 6.756043242047273)	('>5k', 3.5908629478612424)	('>10k+', 7.152498864327623)
SRR7543041_clean_2	(1.0, 42.72815542055825)	(2.0, 9.679773338810689)	(3.0, 4.276015826655941)	(4.0, 2.5799714574302564)	(5.0, 1.7343773098843855)	(6.0, 1.3460148472303015)	(7.0, 0.9626176695634694)	(8.0, 0.8604864305456194)	(9.0, 0.7335289511449403)	('>10', 7.985161402152806)	('>50', 2.835794246314522)	('>100', 5.1776141081417215)	('>500', 2.079580617123951)	('>1k', 7.365319830332538)	('>5k', 4.3736266967050526)	('>10k+', 5.281961847405738)
SRR7543042_1	(1.0, 25.866961826292545)	(2.0, 6.603265562897288)	(3.0, 2.4683835804118925)	(4.0, 1.344554450859532)	(5.0, 0.805248948778256)	(6.0, 0.647041465508538)	(7.0, 0.5010618447043151)	(8.0, 0.41993641904416684)	(9.0, 0.3439239929901685)	('>10', 4.534027779519466)	('>50', 2.683413416399182)	('>100', 5.80033308347805)	('>500', 1.459597485629274)	('>1k', 21.57128011942077)	('>5k', 21.30113769084224)	('>10k+', 3.6498323332243654)
SRR7543042_2	(1.0, 28.287256249126713)	(2.0, 6.608538901274463)	(3.0, 2.555788578838653)	(4.0, 1.3635147999987385)	(5.0, 0.8524983978547584)	(6.0, 0.666489257526633)	(7.0, 0.564462327006489)	(8.0, 0.44106667932846016)	(9.0, 0.3594687697775337)	('>10', 4.887606359358185)	('>50', 2.6478341433752104)	('>100', 5.446557533480354)	('>500', 1.399199281755804)	('>1k', 22.383272030243162)	('>5k', 18.293527184872513)	('>10k+', 3.2429195061823677)
