"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","nuclear-transcribed mRNA poly(A) tail shortening","3","140","22","16488","1.46e-2","4.69e-1","16.06","1.00e+0","4.67e-1","8.20e-4","ENSG00000152518,ENSG00000185650,ENSG00000128016"
"GOTERM_BP_DIRECT","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","3","140","22","16488","1.46e-2","4.69e-1","16.06","1.00e+0","4.67e-1","8.20e-4","ENSG00000152518,ENSG00000185650,ENSG00000128016"
"GOTERM_MF_DIRECT","cytokine activity","6","143","172","16905","1.51e-2","3.64e-1","4.12","9.92e-1","3.57e-1","3.44e-3","ENSG00000158813,ENSG00000128342,ENSG00000136244,ENSG00000152785,ENSG00000157368,ENSG00000180875"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type 16","5","149","114","17715","1.54e-2","4.22e-1","5.21","1.00e+0","4.16e-1","2.77e-3","ENSG00000245680,ENSG00000269067,ENSG00000160321,ENSG00000176293,ENSG00000188171"
"INTERPRO","Cadherin-like_dom","5","149","116","17928","1.57e-2","5.22e-1","5.19","1.00e+0","5.17e-1","2.84e-3","ENSG00000262576,ENSG00000107736,ENSG00000154162,ENSG00000253537,ENSG00000253485"
"GOTERM_CC_DIRECT","chromatin","17","147","1056","17412","1.57e-2","1.00e+0","1.91","9.45e-1","1.00e+0","7.84e-3","ENSG00000120093,ENSG00000198353,ENSG00000120738,ENSG00000177606,ENSG00000170345,ENSG00000169083,ENSG00000134532,ENSG00000119138,ENSG00000143995,ENSG00000168874,ENSG00000143867,ENSG00000293164,ENSG00000127528,ENSG00000123358,ENSG00000162772,ENSG00000067082,ENSG00000125740"
"GOTERM_BP_DIRECT","response to light stimulus","3","140","23","16488","1.59e-2","4.97e-1","15.36","1.00e+0","4.95e-1","9.37e-4","ENSG00000120129,ENSG00000121671,ENSG00000170345"
"INTERPRO","Tis11B_N","2","149","2","17928","1.64e-2","5.22e-1","120.32","1.00e+0","5.17e-1","6.86e-5","ENSG00000152518,ENSG00000185650"
"UP_KW_DISEASE","Non-syndromic deafness","5","36","135","4751","1.65e-2","4.29e-1","4.89","3.51e-1","4.29e-1","3.19e-3","ENSG00000170876,ENSG00000107736,ENSG00000145284,ENSG00000186862,ENSG00000109501"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type 37","2","149","2","17715","1.66e-2","4.22e-1","118.89","1.00e+0","4.16e-1","7.03e-5","ENSG00000269067,ENSG00000160321"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type 38","2","149","2","17715","1.66e-2","4.22e-1","118.89","1.00e+0","4.16e-1","7.03e-5","ENSG00000269067,ENSG00000160321"
"UP_SEQ_FEATURE","REGION:Necessary for mRNA decay activation","2","149","2","17715","1.66e-2","4.22e-1","118.89","1.00e+0","4.16e-1","7.03e-5","ENSG00000185650,ENSG00000128016"
