"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","19","114","1206","16968","9.99e-4","1.40e-1","2.34","6.28e-1","1.38e-1","4.11e-4","ENSG00000128342,ENSG00000120093,ENSG00000169252,ENSG00000120738,ENSG00000177606,ENSG00000136244,ENSG00000109906,ENSG00000152785,ENSG00000170345,ENSG00000169083,ENSG00000143995,ENSG00000142871,ENSG00000184384,ENSG00000127528,ENSG00000123358,ENSG00000162772,ENSG00000067082,ENSG00000102760,ENSG00000125740"
"GOTERM_BP_DIRECT","regulation of transcription by RNA polymerase II","22","114","1523","16968","1.01e-3","1.40e-1","2.15","6.33e-1","1.38e-1","4.55e-4","ENSG00000157514,ENSG00000196263,ENSG00000120093,ENSG00000120738,ENSG00000177606,ENSG00000109906,ENSG00000105708,ENSG00000170345,ENSG00000119138,ENSG00000245680,ENSG00000189298,ENSG00000121413,ENSG00000198939,ENSG00000102804,ENSG00000127528,ENSG00000160321,ENSG00000123358,ENSG00000176293,ENSG00000162772,ENSG00000067082,ENSG00000125740,ENSG00000182986"
"GOTERM_BP_DIRECT","cellular response to fibroblast growth factor stimulus","4","114","32","16968","1.24e-3","1.40e-1","18.61","7.07e-1","1.38e-1","6.01e-5","ENSG00000152518,ENSG00000185650,ENSG00000123358,ENSG00000128016"
"GOTERM_BP_DIRECT","positive regulation of cell population proliferation","11","114","475","16968","1.27e-3","1.40e-1","3.45","7.17e-1","1.38e-1","3.54e-4","ENSG00000143995,ENSG00000102804,ENSG00000128342,ENSG00000169047,ENSG00000137936,ENSG00000174808,ENSG00000136244,ENSG00000145431,ENSG00000162772,ENSG00000157368,ENSG00000169083"
"SMART","ZnF_C2H2","16","83","751","9778","1.29e-3","8.17e-2","2.51","1.00e-1","8.17e-2","4.93e-4","ENSG00000196263,ENSG00000120738,ENSG00000109906,ENSG00000105708,ENSG00000119138,ENSG00000245680,ENSG00000189298,ENSG00000061455,ENSG00000121413,ENSG00000198939,ENSG00000127528,ENSG00000160321,ENSG00000176293,ENSG00000067082,ENSG00000237440,ENSG00000182986"
"INTERPRO","AP-1","3","122","9","18453","1.49e-3","1.08e-1","50.42","4.77e-1","1.07e-1","2.30e-5","ENSG00000170345,ENSG00000162772,ENSG00000125740"
"GOTERM_BP_DIRECT","negative regulation of ERK1 and ERK2 cascade","5","114","75","16968","1.58e-3","1.56e-1","9.92","7.90e-1","1.54e-1","1.49e-4","ENSG00000164056,ENSG00000128342,ENSG00000120129,ENSG00000136158,ENSG00000162772"
"GOTERM_BP_DIRECT","positive regulation of multicellular organismal process","4","114","37","16968","1.89e-3","1.65e-1","16.09","8.47e-1","1.63e-1","1.08e-4","ENSG00000128342,ENSG00000136244,ENSG00000109906,ENSG00000157368"
"SMART","TSP1","5","83","64","9778","1.99e-3","8.17e-2","9.20","1.51e-1","8.17e-2","2.01e-4","ENSG00000118523,ENSG00000142871,ENSG00000134917,ENSG00000156218,ENSG00000154734"
"GOTERM_BP_DIRECT","response to wounding","5","114","80","16968","2.00e-3","1.65e-1","9.30","8.62e-1","1.63e-1","2.02e-4","ENSG00000118523,ENSG00000152518,ENSG00000185650,ENSG00000117525,ENSG00000128016"
"UP_KW_MOLECULAR_FUNCTION","Growth factor","6","87","121","10932","2.61e-3","1.20e-1","6.23","1.13e-1","1.20e-1","3.95e-4","ENSG00000128342,ENSG00000174808,ENSG00000136244,ENSG00000145431,ENSG00000152785,ENSG00000157368"
"GOTERM_BP_DIRECT","positive regulation of gene expression","10","114","444","16968","2.87e-3","2.05e-1","3.35","9.42e-1","2.02e-1","8.19e-4","ENSG00000158813,ENSG00000128342,ENSG00000136158,ENSG00000136244,ENSG00000120738,ENSG00000117525,ENSG00000162772,ENSG00000157368,ENSG00000169083,ENSG00000102760"
"GOTERM_BP_DIRECT","skeletal muscle cell differentiation","4","114","44","16968","3.12e-3","2.05e-1","13.53","9.55e-1","2.02e-1","2.13e-4","ENSG00000120738,ENSG00000123358,ENSG00000170345,ENSG00000162772"
"GOTERM_BP_DIRECT","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","3","114","13","16968","3.27e-3","2.05e-1","34.35","9.61e-1","2.02e-1","8.04e-5","ENSG00000152518,ENSG00000185650,ENSG00000128016"
"UP_SEQ_FEATURE","DOMAIN:BZIP","4","122","45","18235","3.30e-3","3.82e-1","13.29","9.12e-1","3.81e-1","2.30e-4","ENSG00000177606,ENSG00000170345,ENSG00000162772,ENSG00000125740"
"GOTERM_BP_DIRECT","positive regulation of MAPK cascade","7","114","217","16968","3.32e-3","2.05e-1","4.80","9.63e-1","2.02e-1","6.57e-4","ENSG00000170558,ENSG00000128342,ENSG00000137936,ENSG00000169252,ENSG00000136244,ENSG00000157368,ENSG00000169083"
"UP_KW_PTM","Glycoprotein","44","94","4336","13414","3.44e-3","6.54e-2","1.45","6.02e-2","6.54e-2","2.32e-3","ENSG00000262576,ENSG00000125384,ENSG00000155011,ENSG00000152580,ENSG00000153956,ENSG00000122707,ENSG00000152785,ENSG00000168490,ENSG00000092096,ENSG00000111452,ENSG00000154864,ENSG00000143878,ENSG00000168671,ENSG00000174808,ENSG00000162591,ENSG00000145431,ENSG00000020181,ENSG00000107331,ENSG00000197093,ENSG00000108684,ENSG00000182667,ENSG00000158813,ENSG00000128342,ENSG00000073067,ENSG00000012171,ENSG00000169252,ENSG00000111962,ENSG00000136244,ENSG00000132561,ENSG00000117525,ENSG00000196557,ENSG00000157368,ENSG00000156218,ENSG00000154734,ENSG00000170558,ENSG00000124749,ENSG00000118523,ENSG00000167972,ENSG00000101825,ENSG00000080224,ENSG00000253537,ENSG00000134917,ENSG00000144057,ENSG00000180875"
"GOTERM_MF_DIRECT","growth factor activity","6","118","150","17376","3.46e-3","1.97e-1","5.89","6.28e-1","1.93e-1","5.58e-4","ENSG00000128342,ENSG00000174808,ENSG00000136244,ENSG00000145431,ENSG00000152785,ENSG00000157368"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type 13","7","122","222","18235","3.66e-3","3.82e-1","4.71","9.33e-1","3.81e-1","7.39e-4","ENSG00000245680,ENSG00000198939,ENSG00000196263,ENSG00000160321,ENSG00000105708,ENSG00000176293,ENSG00000237440"
"GOTERM_BP_DIRECT","cellular response to tumor necrosis factor","5","114","95","16968","3.73e-3","2.17e-1","7.83","9.75e-1","2.14e-1","4.49e-4","ENSG00000152518,ENSG00000127528,ENSG00000185650,ENSG00000170345,ENSG00000128016"
"GOTERM_BP_DIRECT","cellular response to epidermal growth factor stimulus","4","114","48","16968","4.00e-3","2.20e-1","12.40","9.81e-1","2.17e-1","2.99e-4","ENSG00000152518,ENSG00000185650,ENSG00000170345,ENSG00000128016"
"UP_KW_BIOLOGICAL_PROCESS","Cell adhesion","10","70","489","10631","4.15e-3","1.83e-1","3.11","1.67e-1","1.83e-1","1.28e-3","ENSG00000170558,ENSG00000118523,ENSG00000142871,ENSG00000262576,ENSG00000143878,ENSG00000157927,ENSG00000253537,ENSG00000120708,ENSG00000074590,ENSG00000182667"
"GOTERM_BP_DIRECT","cellular response to hormone stimulus","4","114","49","16968","4.24e-3","2.21e-1","12.15","9.85e-1","2.18e-1","3.24e-4","ENSG00000120129,ENSG00000196557,ENSG00000170345,ENSG00000125740"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type 7","10","122","481","18235","4.79e-3","3.82e-1","3.11","9.71e-1","3.81e-1","1.47e-3","ENSG00000245680,ENSG00000189298,ENSG00000198939,ENSG00000196263,ENSG00000160321,ENSG00000109906,ENSG00000105708,ENSG00000176293,ENSG00000237440,ENSG00000182986"
"KEGG_PATHWAY","IL-17 signaling pathway","5","61","93","8128","4.80e-3","8.55e-1","7.16","5.76e-1","8.55e-1","6.32e-4","ENSG00000118503,ENSG00000136244,ENSG00000177606,ENSG00000170345,ENSG00000125740"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type 11","8","122","312","18235","4.82e-3","3.82e-1","3.83","9.71e-1","3.81e-1","1.20e-3","ENSG00000245680,ENSG00000198939,ENSG00000196263,ENSG00000160321,ENSG00000105708,ENSG00000176293,ENSG00000237440,ENSG00000182986"
"INTERPRO","bZIP_sf","4","122","53","18453","5.07e-3","2.91e-1","11.42","8.91e-1","2.89e-1","4.15e-4","ENSG00000177606,ENSG00000170345,ENSG00000162772,ENSG00000125740"
"UP_KW_MOLECULAR_FUNCTION","Heparin-binding","5","87","89","10932","5.25e-3","1.21e-1","7.06","2.15e-1","1.21e-1","6.98e-4","ENSG00000118523,ENSG00000142871,ENSG00000134917,ENSG00000154734,ENSG00000180875"
"GOTERM_BP_DIRECT","positive regulation of fibroblast proliferation","4","114","53","16968","5.29e-3","2.52e-1","11.23","9.95e-1","2.49e-1","4.39e-4","ENSG00000128342,ENSG00000174808,ENSG00000145431,ENSG00000177606"
"INTERPRO","bZIP","4","122","54","18453","5.35e-3","2.91e-1","11.20","9.03e-1","2.89e-1","4.46e-4","ENSG00000177606,ENSG00000170345,ENSG00000162772,ENSG00000125740"
