"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","toll-like receptor 4 signaling pathway","4","355","32","16968","2.86e-2","9.15e-1","5.97","1.00e+0","9.07e-1","4.26e-3","ENSG00000134070,ENSG00000172936,ENSG00000089127,ENSG00000050730"
"KEGG_PATHWAY","PD-L1 expression and PD-1 checkpoint pathway in cancer","7","217","88","8128","2.93e-2","5.55e-1","2.98","1.00e+0","5.44e-1","8.94e-3","ENSG00000172936,ENSG00000168610,ENSG00000167286,ENSG00000065675,ENSG00000115415,ENSG00000168062,ENSG00000160654"
"GOTERM_BP_DIRECT","response to toxic substance","6","355","84","16968","3.11e-2","9.80e-1","3.41","1.00e+0","9.72e-1","8.32e-3","ENSG00000151012,ENSG00000105854,ENSG00000134057,ENSG00000148346,ENSG00000170312,ENSG00000268104"
"INTERPRO","TRYPSIN_SER","6","373","87","18453","3.13e-2","1.00e+0","3.41","1.00e+0","9.97e-1","8.38e-3","ENSG00000137648,ENSG00000005001,ENSG00000172382,ENSG00000153802,ENSG00000167759,ENSG00000129437"
"GOTERM_BP_DIRECT","regulation of cell population proliferation","9","355","178","16968","3.35e-2","1.00e+0","2.42","1.00e+0","9.92e-1","1.27e-2","ENSG00000151012,ENSG00000049249,ENSG00000168610,ENSG00000115415,ENSG00000104549,ENSG00000171124,ENSG00000057657,ENSG00000007171,ENSG00000118520"
"GOTERM_BP_DIRECT","positive regulation of monocyte chemotactic protein-1 production","3","355","14","16968","3.35e-2","1.00e+0","10.24","1.00e+0","9.92e-1","2.78e-3","ENSG00000089127,ENSG00000172243,ENSG00000111331"
"KEGG_PATHWAY","Glycosphingolipid biosynthesis - lacto and neolacto series","4","217","27","8128","3.39e-2","5.98e-1","5.55","1.00e+0","5.87e-1","5.35e-3","ENSG00000174951,ENSG00000171124,ENSG00000179913,ENSG00000176920"
"UP_KW_MOLECULAR_FUNCTION","Cyclin","4","238","33","10932","3.40e-2","2.79e-1","5.57","9.17e-1","2.63e-1","5.46e-3","ENSG00000100292,ENSG00000134057,ENSG00000105173,ENSG00000145386"
"UP_KW_MOLECULAR_FUNCTION","Protease inhibitor","7","238","112","10932","3.48e-2","2.79e-1","2.87","9.22e-1","2.63e-1","1.11e-2","ENSG00000206073,ENSG00000057149,ENSG00000197641,ENSG00000168703,ENSG00000121552,ENSG00000124102,ENSG00000160213"
"GOTERM_BP_DIRECT","positive regulation of type II interferon production","6","355","87","16968","3.54e-2","1.00e+0","3.30","1.00e+0","9.92e-1","9.82e-3","ENSG00000143106,ENSG00000114251,ENSG00000187608,ENSG00000116824,ENSG00000172243,ENSG00000103257"
"GOTERM_BP_DIRECT","response to bacterium","7","355","117","16968","3.60e-2","1.00e+0","2.86","1.00e+0","9.92e-1","1.15e-2","ENSG00000161405,ENSG00000196344,ENSG00000148346,ENSG00000137965,ENSG00000007171,ENSG00000171236,ENSG00000138642"
"UP_SEQ_FEATURE","DOMAIN:Aminotransferase class I/classII large","3","374","15","18235","3.68e-2","1.00e+0","9.75","1.00e+0","1.00e+0","3.24e-3","ENSG00000120053,ENSG00000100596,ENSG00000125166"
"GOTERM_BP_DIRECT","antifungal innate immune response","3","355","15","16968","3.81e-2","1.00e+0","9.56","1.00e+0","9.92e-1","3.43e-3","ENSG00000172243,ENSG00000173431,ENSG00000171711"
"GOTERM_BP_DIRECT","cellular response to exogenous dsRNA","3","355","15","16968","3.81e-2","1.00e+0","9.56","1.00e+0","9.92e-1","3.43e-3","ENSG00000089127,ENSG00000111331,ENSG00000115267"
"INTERPRO","IF_conserved","5","373","63","18453","3.82e-2","1.00e+0","3.93","1.00e+0","9.97e-1","8.85e-3","ENSG00000186442,ENSG00000186832,ENSG00000205420,ENSG00000170465,ENSG00000148798"
"GOTERM_BP_DIRECT","response to hydrogen peroxide","4","355","36","16968","3.87e-2","1.00e+0","5.31","1.00e+0","9.92e-1","6.54e-3","ENSG00000197948,ENSG00000100292,ENSG00000115415,ENSG00000170312"
"GOTERM_BP_DIRECT","positive regulation of mitotic cell cycle","4","355","36","16968","3.87e-2","1.00e+0","5.31","1.00e+0","9.92e-1","6.54e-3","ENSG00000107338,ENSG00000036672,ENSG00000134057,ENSG00000087586"
"SMART","Cyclin_C","3","174","18","9778","3.96e-2","1.00e+0","9.37","9.97e-1","1.00e+0","3.71e-3","ENSG00000134057,ENSG00000105173,ENSG00000145386"
"UP_KW_LIGAND","FAD","7","152","111","6665","3.97e-2","1.00e+0","2.77","7.48e-1","1.00e+0","1.31e-2","ENSG00000088826,ENSG00000116260,ENSG00000104549,ENSG00000137767,ENSG00000158125,ENSG00000007171,ENSG00000151498"
